Respondent ID,Collector ID,Start Date,End Date,IP Address,Email Address,First Name,Last Name,Custom Data 1,"By completing this survey, you are providing consent to Elections Ontario and CNIB to use this information to evaluate the 2018 General Election with the goal of improving the voting process.",,"If you wish to disclose, which of the following best describes the severity of your sight loss?",,,,,How did you initially find out about the Ontario 2018 General Election? Please check all that apply.,,,,,,,,,,,"Was the information Elections Ontario sent to you, such as the Voting Information Cards, accessible to you?",,,,,Did you use Elections Ontario’s website to find information on the 2018 General Election?,,Did you use Elections Ontario’s website to register to vote for the 2018 General Election?,,Did you use any assistive devices or aids to read the information sent to you by Elections Ontario? Please check all that apply.,,,,,,,,,
,,,,,,,,,I consent,I do not consent,"Mild, I have most of my vision","Moderate, I have some of my vision","Significant, I can see very little","Total, I am completely blind",It varies depending on the environment I'm in,Friend or family member,Elections Ontario advertisement,Elections Ontario brochure,"Elections Ontario information at a community centre, library, or shelter","Elections Ontario public event, such as on campus or in the community",Elections Ontario Voter Information Card,Elections Ontario’s website,"News, such as TV, Newspaper, Online, Radio",Political candidate,"Social media, such as Facebook or Twitter",Other (please specify below),Yes I could access all of the information,I could access some of the information,I couldn't access any of the information,I didn’t receive any information,I'm not aware I received any information,Yes,No,Yes,No,I did not require any assistive devices or aids,CCTV,Handheld video magnifier,Handheld magnifier that was not a video device,eSight,OrCam,"Smartphone or tablet app, such as KNFB Reader or Seeing AI","Smartphone or tablet, without a specialized app",Someone read the material to me,Other (please specify below)
1.10002E+11,270074150,07/15/2018 02:38:08 PM,07/15/2018 02:46:29 PM,,,,,,I consent,,,"Moderate, I have some of my vision",,,,,,,,,Elections Ontario Voter Information Card,,,,,,,I could access some of the information,,,,,No,,No,,,,Handheld magnifier that was not a video device,,,,,,
1.10002E+11,270074150,07/14/2018 09:01:43 PM,07/14/2018 09:18:15 PM,,,,,,I consent,,,,,,,,,,,,,,,,, CNIBk,,,,,I'm not aware I received any information,,No,,No,,,,,,,,,,
1.10002E+11,270074150,07/09/2018 21:19,07/09/2018 21:59,,,,,,I consent,,,,,,,,,,,,,,,,,CNIB  ,,,,,,,No,,No,,CCTV,,,,,,,,
1.10002E+11,270074150,07/09/2018 9:34,07/09/2018 9:39,,,,,,I consent,,,,,"Total, I am completely blind",,Friend or family member,,,,,,,,,,,Yes I could access all of the information,,,,,,No,,No,,,,,,,,,Someone read the material to me,
1.10002E+11,270074150,07/08/2018 13:07,07/08/2018 13:15,,,,,,I consent,,,,,,It varies depending on the environment I'm in,,Elections Ontario advertisement,Elections Ontario brochure,"Elections Ontario information at a community centre, library, or shelter","Elections Ontario public event, such as on campus or in the community",Elections Ontario Voter Information Card,Elections Ontario’s website,"News, such as TV, Newspaper, Online, Radio",,"Social media, such as Facebook or Twitter",,,,,I didn’t receive any information,,Yes,,,No,,,,,,,,,,
1.10002E+11,270074150,07/04/2018 17:03,07/04/2018 17:14,,,,,,I consent,,,"Moderate, I have some of my vision",,,,Friend or family member,Elections Ontario advertisement,,"Elections Ontario information at a community centre, library, or shelter","Elections Ontario public event, such as on campus or in the community",Elections Ontario Voter Information Card,,"News, such as TV, Newspaper, Online, Radio",,,,Yes I could access all of the information,,,,,Yes,,,No,,,,,,,,,,I use glasses of about 2.0-2.75 for reading material depending on the size.  For very fine print I would use a handheld magnifier.
1.10002E+11,270074150,07/02/2018 7:35,07/02/2018 7:48,,,,,,I consent,,,,,"Total, I am completely blind",,,Elections Ontario advertisement,,,,Elections Ontario Voter Information Card,,"News, such as TV, Newspaper, Online, Radio",,"Social media, such as Facebook or Twitter",,,,I couldn't access any of the information,,,,No,,No,,,,,,,,,,Kurzweil and scanner
1.10002E+11,270074150,07/01/2018 17:16,07/01/2018 17:32,,,,,,I consent,,"Mild, I have most of my vision",,,,,,Elections Ontario advertisement,Elections Ontario brochure,,,,,"News, such as TV, Newspaper, Online, Radio",,,,Yes I could access all of the information,,,,,,No,Yes,,I did not require any assistive devices or aids,,,,,,,,,
1.10002E+11,270074150,07/01/2018 13:16,07/01/2018 13:17,,,,,,I consent,,,,"Significant, I can see very little",,,Friend or family member,,,,,Elections Ontario Voter Information Card,,"News, such as TV, Newspaper, Online, Radio",,,,Yes I could access all of the information,,,,,,No,,No,I did not require any assistive devices or aids,,,,,,,,,
